,Unnamed: 0,address
130,130,"Санкт-Петербург, 8-я линия В.О., д. 41, лит. А, ч. пом. 2Н (1-36, 37-63, 64-71), ч. п. 3Н, пом. 10Н"
131,131,"Санкт-Петербург, Ижорская улица, д. 5, лит. А, пом. 1Н, 4Н"
132,132,"Санкт-Петербург, ул. Ленина, д. 39, литер А, пом. 1Н"
133,133,"Санкт-Петербург, пр. Солидарности, д. 12, кор. 1, лит. А"
134,134,"Санкт-Петербург, ул. Рихарда Зорге, д.1, лит.А"
135,135,"Санкт-Петербург, улица  Рихарда Зорге, д.13, лит.А"
136,136,"Санкт-Петербург, улица  Маршала Захарова, д.31, лит.А"
137,137,"Санкт-Петербург, ул. Десантников,   д. 20. к. 3. литер А, помещение 8-Н"
138,138,"Санкт-Петербург, пр. Героев, д. 26,    к. 3, литера А, помещение 3Н."
139,139,"Санкт-Петербург, улица Рихарда Зорге, д.18, лит.А."
140,140,"Санкт-Петербург, Петергофское шоссе, д. 3 корп. 5, литера А, помещения 4Н, 7Н, часть пом. 1Н"
141,141,"Санкт-Петербург, улица Маршала Захарова, д. 18, корп. 1, литера А, пом. 9Н"
142,142,"Санкт-Петербург, 2-й Муринский проспект, д. 35, лит. А"
143,143,"Санкт-Петербург, Тобольская ул., д. 4, лит. А."
144,144,"Санкт-Петербург, Фронтовая ул., д.1, литер А"
145,145,"Санкт-Петербург, Беловодский переулок, дом 1, литера Л"
146,146,"Санкт-Петербург, Костромской пр., дом 57, корпус 1, литера А"
147,147,"Санкт-Петербург, Большой Сампсониевский проспект, д.97, лит. А, пом. 1-Н, 2-Н"
148,148,"Санкт-Петербург, Костромской пр., д.11, литера А, помещение 5-Н, 17-Н."
149,149,"Санкт-Петербург, ул. Седова,  д. 94,  литера А, помещения 4-Н, 11-Н, часть помещения пом.  6-Н (2, 7-10)"
150,150,"Санкт-Петербург, ул. Кузнецовская, д. 9, лит. А, пом. 1Н, 6Н, 7Н, 8Н, 14Н, 15Н (1-9, 12-18, 23-28, 30-34)"
151,151,"Санкт-Петербург, ул. Звездная, д. 15, лит. А, кор. 2 пом. 22Н"
152,152,"Санкт-Петербург, ул. Симонова, д. 5, корп. 1, лит А"
153,153,"Санкт-Петербург, улица Мира, д.26, корп.2, лит.А"
154,154,"Санкт-Петербург, проспект Королева, д. 5, лит. А"
155,155,"Санкт-Петербург, Новоколомяжский проспект, д.8/10, лит.А, пом.10Н, 14Н,17Н"
156,156,"Санкт-Петербург, аллея Поликарпова, д.6, кор.1, лит. А, пом. 11Н"
157,157,"Санкт-Петербург, Колокольная улица  д.  11  пом. 8Н лит. А"
158,158,"Санкт-Петербург, Тобольская ул., д. 4, лит. А"
159,159,"Санкт-Петербург, улица Кустодиева, д. 8, лит. А"
160,160,"Санкт-Петербург, пр. Энгельса д. 147, кор. 1, лит. Г, пом. 2-Н"
161,161,"Санкт-Петербург, ул. Седова, дом 95, корпус 2, литер А"
162,162,"Санкт-Петербург, ул. Седова, дом 95, корпус 3, литер А"
163,163,"Санкт-Петербург, переулок Матюшенко, д.14, лит.А, пом. 13-Н"
164,164,"Санкт-Петербург, улица Боровая, дом 55, лит. А"
165,165,"Санкт-Петербург, Невский пр., д. 85, лит. Д, часть здания помещения 132,134,136,138,140,142"
166,166,"Санкт-Петербург, пл. Островского, д. 2, лит. Б, помещение 19-Н"
167,167,"Санкт-Петербург, пр. Победы, д. 1, лит. 3, часть здания  линейного пункта оборотного депо на 1 этаже."
168,168,"Санкт-Петербург, наб. Обводного канала, д. 118,  лит.7, часть служебно-бытового здания  на 2 этаже  в производственно-технологическом комплексе Локомотивного депо Санкт-Петербург -Варшавский."
169,169,"Санкт-Петербург, направление Санкт-Петербург-Москва,  82 км, ПК 4+32 в полосе отвода железной дороги, лит. 1, часть здания дома отдыха локомотивных бригад на 1 этаже.Санкт-Петербург -Варшавский."
170,170,"Санкт-Петербург, Локомотивное депо Новгород, строение литер В, часть здания в производственно-технологическом комплексе Дорожного предприятия по ремонту техники восстановительных поездов г.Великий Новгород Санкт-Петербургского отделения Октябрьской железной дороги на 1 этаже."
171,171,"Санкт-Петербург, Невский проспект, дом №85, компл. К4, лит.8, часть здания в производственно-технологическом комплексе локомотивного депо Санкт-Петербург-Пассажирский-Московский на станции Санкт-Петербург-Пассажирский-Московский на 1 этаже."
172,172,"Санкт-Петербург, наб. Обводного канала, д.120, ст. Предпортовая, участок 2, литер 6, часть здания в производственно-технологическом комплексе Дорожного предприятия по ремонту путевой техники на 1 этаже."
173,173,"Санкт-Петербург, литера Б, часть здания в производственно-технологическом комплексе Санкт-Петербург-Пассажирской Московской дистанции сигнализации и связи (ШЧ-7) –Санкт-Петербургского отделения «Октябрьской железной дороги» на 2 этаже."
174,174,"Санкт-Петербург, участок ж.д. «набережная Обводного канала – проспект Александровской фермы», лит.17, часть здания административно-бытового корпуса на 1 этаже в производственно-технологическом комплексе вагонного депо Санкт-Петербург Сортировочный Московский на станции Санкт-Петербург Сортировочный Московский."
175,175,"Санкт-Петербург, Промзона Металлострой,  дом №1, лит. 2, часть здания служебно-бытового корпуса на 1 этаже."
176,176,"Санкт-Петербург, Промзона Металлострой,  дом №1, лит. 4, часть служебно-технического корпуса на 3 этаже."
177,177,"Санкт-Петербург, улица Железнодорожная, дом 15, лит. 1, часть служебно-бытового здания  на 1 этаже."
178,178,"Санкт-Петербург, наб. Обводного канала,  дом 120, лит. 1, часть здания пункта оборота в производственно-технологическом комплексе локомотивного депо Санкт-Петербург-Балтийский"
179,179,"Санкт-Петербург, ул. Сортировочная-Московская, д.2, лит.12, часть здания локомотивного депо на 1 этаже."
180,180,"Санкт-Петербург, ул. Витебская-Сортировочная, д. 31, участок 1, лит.1, часть здания в производственно-технологическом комплексе локомотивного депо Санкт-Петербург-Сортировчный-Витебский на 1 этаже."
181,181,"Санкт-Петербург, ст. Витебская-Пассажирская, 1км ПК 4, лит. 247, часть здания линейного пункта в производственно-технологическом комплексе Санкт-Петербург-Витебской дистанции пути на 1 этаже."
182,182,"Санкт-Петербург, проспект Невский, дом 85, Пункт оборота Моторвагонного депо Санкт-Петербург-Московское, часть здания на 2 этаже."
183,183,"Санкт-Петербург, ТВП «Северный» ст. Лужская, литер А, пом. №№ 14, 15 на 1 этаже."
184,184,"Санкт-Петербург, участок ж.д. «пр. Стачек - пр. Маршала Жукова», литер К, часть административно-бытового здания, совмещенного с постом ЭЦ, на 2 этаже."
185,185,"Санкт-Петербург, ул. Революции, д. 12, литера 4, часть здания административного здания на 1 этаже в производственно-технологическом комплексе Моторовагонного депо Санкт-Петербург Московское на стации Малая Вишера Моторовагонного депо Санкт-Петербургского отделения Октябрьской железной дороги – филиала ОАО «РЖД»."
186,186,"Санкт-Петербург, ул. Урицкого, д.90, часть служебно-бытового здания с переходом на 1-ом этаже в производственном корпусе Тосненской механизированной дистанции пути на станции Тосно (пом. 25 и 27)."
